1,Cristiano Ronaldo,807,Portugal,Right
2,Lionel Messi,750,Argentina,Left
3,Ferenc Puskás,703,Hungary,Right
4,Gerd Müller,"1,251",Germany,Right
5,Zlatan Ibrahimović,570,Sweden,Right
6,Robert Lewandowski,310,Poland,Right
7,Luis Suárez,500,Uruguay,Right
8,Hugo Sánchez,562,Mexico,Left
9,Wayne Rooney,253,United Kingdom,Right
10,Sergio Agüero,184,Argentina,Left
11,Thierry Henry,228,France,Left
12,Frank Lampard,211,United Kingdom,Right
13,Robbie Fowler,163,United Kingdom,Left
14,Ribery,285,France,Right
15,Michael Owen,158,United Kingdom,Right
16,Karim Benzema,290,France,Right
17,Ruud van Nistelrooy,150,Ukraine,Left
18,Samuel Eto'o,428,Cameroon,Right
19,Emilio Butragueño,123,Spain,Right
20,Christian Vieri,374,Italy,Right
21,Diego Forlán ,525,Uruguay,Left
22,Ronaldo,807,Brazil,Right
23,Raúl ,323,Spain,Right
24,Antoine Griezmann,288,Spain,Right
25,David Villa,108,Spain,Left
26,Gareth Bale,106,Wales,Right
27,Klaus Fischer,268,Germany,Right
28,Jupp Heynckes,220,Germany,Right
29,Marco Reus,150,Germany,Left
30,Thomas Müller,122,Germany,Left
31,Lothar Matthäus,23,Germany,Left
32,Claudio Pizarro,197,Peru,Left
33,Mario Gómez,319,Germany,Left
34,Andrea Belotti,140,Italy,Right
35,Dries Mertens,249,Belgium,Right
36,Duván Zapata,154,Colombia,Left
37,Ciro Immobile,260,Italy,Right
38,Mauro Icardi,173,Italy,Left
39,Edinson Cavani,372,Uruguay,Right
40,Andriy Shevchenko,343,Ukraine,Right
41,Kylian Mbappé,198,France,Left
42,Neymar,340,Brazil,Left
43,Ángel Di María,152,Argentina,Right
44,Didier Drogba,297,Ivory Coast,Right
45,Paul Pogba,73,France,Right
46,Juan Mata,140,Spain,Right
47,Bruno Fernandes,133,Portugal,Right
48,Fernando Torres,263,Spain,Right
49,Robin van Persie,272,Netherland,Left
50,Arjen Robben,209,Netherland,Left